any,superf,dorm,banys,vtot,estado,edad,ascensor,extint,estudis1,pmq,lpmq,lsuperf,ledad,lestudis1
2000,80.86,4,1,17700000,2,90,0,1,00 011,218896.8588,12.29635593,4.392719264,1.954242509,2.418873679
1999,75,3,1,16900000,1,30,1,1,00 011,225333.3333,12.32533607,4.317488114,1.477121255,2.43411323
1999,75,3,1,13500000,2,25,1,0,00 011,180000,12.10071213,4.317488114,1.397940009,2.43411323
1999,75,3,1,16900000,1,30,1,1,00 011,225333.3333,12.32533607,4.317488114,1.477121255,2.43411323
1999,55.5,1,2,12400000,2,21,1,1,00 011,223423.4234,12.31682401,4.016383021,1.322219295,2.43411323
1999,106,2,1,19100000,1,75,0,1,00 011,180188.6792,12.1017598,4.663439094,1.875061263,2.43411323
1999,80,4,1,20200000,4,60,0,1,00 011,252500,12.43916653,4.382026635,1.77815125,2.43411323
1999,101.21,4,3,22300000,1,35,1,1,00 011,220333.9591,12.30289967,4.617197566,1.544068044,2.43411323
2000,150,5,1,46500000,3,50,1,1,00 011,310000,12.64432758,5.010635294,1.698970004,2.43411323
2000,150,5,1,46500000,3,50,1,1,00 011,310000,12.64432758,5.010635294,1.698970004,2.43411323
2000,150,5,1,46500000,3,50,1,1,00 011,310000,12.64432758,5.010635294,1.698970004,2.43411323
2000,46,1,1,14300000,3,30,1,1,00 011,310869.5652,12.6471287,3.828641396,1.477121255,2.43411323
1999,257,5,4,63000000,2,60,1,1,00 013,245136.1868,12.4095692,5.549076085,1.77815125,2.54702819
1999,180,3,2,47000000,1,79,1,1,00 013,261111.1111,12.47270131,5.192956851,1.897627091,2.54702819
1999,44.5,2,1,14000000,3,55,0,1,00 013,314606.7416,12.6590787,3.795489189,1.740362689,2.54702819
1999,73.6,2,1,16600000,3,50,0,1,00 013,225543.4783,12.32626823,4.298645026,1.698970004,2.54702819
2000,124,3,2,36000000,3,30,1,1,00 013,290322.5806,12.57874793,4.820281566,1.477121255,2.54702819
2000,227.8,5,3,75200000,3,64,1,1,00 013,330114.1352,12.70719374,5.428468051,1.806179974,2.54702819
2000,187.6,4,3,66600000,4,60,1,1,00 013,355010.661,12.7799031,5.234312037,1.77815125,2.54702819
2000,67,2,1,20100000,3,35,1,1,00 013,300000,12.61153775,4.204692619,1.544068044,2.54702819
2000,144.29,4,2,42100000,4,14,1,1,00 013,291773.5117,12.58373314,4.971825163,1.146128036,2.54702819
1999,84,3,1,15500000,3,25,1,1,00 007,184523.8095,12.12553378,4.430816799,1.397940009,2.005871694
1999,81,3,1,14300000,2,30,1,1,00 007,176543.2099,12.08132094,4.394449155,1.477121255,2.005871694
1999,129.14,4,2,18100000,3,33,1,1,00 007,140157.9681,11.85052541,4.860897087,1.51851394,2.005871694
1999,60.65,3,1,10600000,3,30,0,1,00 007,174773.2894,12.07124492,4.105119635,1.477121255,2.005871694
1999,62.78,3,1,10700000,2,35,0,1,00 007,170436.4447,12.04611775,4.139636551,1.544068044,2.005871694
1999,70,3,1,7958300,1,30,0,1,00 007,113690,11.64123073,4.248495242,1.477121255,2.005871694
1999,70,3,1,10500000,2,35,0,1,00 007,150000,11.91839057,4.248495242,1.544068044,2.005871694
1999,87.4,3,1,14200000,2,34,1,1,00 007,162471.3959,11.99825724,4.470495283,1.531478917,2.005871694
1999,127,4,2,21300000,3,30,1,1,00 007,167716.5354,12.03003054,4.844187086,1.477121255,2.005871694
1999,127,4,2,23100000,1,28,1,1,00 007,181889.7638,12.11115609,4.844187086,1.447158031,2.005871694
1999,90,3,1,16200000,4,33,1,1,00 007,180000,12.10071213,4.49980967,1.51851394,2.005871694
2000,63,3,1,12900000,3,36,0,1,00 007,204761.9048,12.22960314,4.143134726,1.556302501,2.005871694
2000,64,3,1,13900000,3,32,1,1,00 007,217187.5,12.28851631,4.158883083,1.505149978,2.005871694
2000,85.5,3,1,16600000,3,35,1,1,00 007,194152.0468,12.17639688,4.448516376,1.544068044,2.005871694
2000,60.84,3,1,11500000,3,35,0,1,00 007,189020.3813,12.14961013,4.108247467,1.544068044,2.005871694
