ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
30.87,5181.43,39.37,22.16,4.96,-0.00193986,0.001467,0,0.02025783,-0.00207764,0.00146705,-0.00000004,0.02025783
30.87,5197.68,39.66,22.28,4.96,0,0.0031362,0.00736602,0.00541516,-0.00013778,0.0031362,0.00736593,0.00541496
30.46,5130.13,40.64,21.69,4.95,-0.0132815,-0.01299618,0.02471004,-0.02648115,-0.013419,-0.01299581,0.0247104,-0.02648184
29.94,5032.94,40.54,21.81,4.95,-0.01707157,-0.01894494,-0.00246063,0.0055325,-0.01720907,-0.01894447,-0.0024601,0.00553257
30.12,5065.1,40.54,21.81,4.94,0.00601202,0.0063899,0,0,0.0058748,0.00638974,-0.00000018,0
30.29,5061.12,40.25,21.59,4.94,0.00564409,-0.00078577,-0.00715343,-0.01008712,0.00550687,-0.00078593,-0.00715341,-0.01008692
30.46,5043.78,39.86,20.78,4.94,0.00561241,-0.00342612,-0.00968944,-0.03751737,0.00547519,-0.00342628,-0.00968935,-0.0375171
30.75,5088.22,39.66,21.75,4.94,0.00952068,0.00881085,-0.00501756,0.0466795,0.00938346,0.00881059,-0.00501781,0.04667964
30.93,5066.9,41.22,21.91,4.94,0.00585366,-0.00419007,0.03933434,0.00735632,0.00571644,-0.00419023,0.03933446,0.00735523
30.87,5124.35,41.22,24.06,4.93,-0.00193986,0.01133829,0,0.09812871,-0.00207681,0.01133835,-0.00000032,0.09812871
30.18,5184.68,40.74,25.5,4.93,-0.0223518,0.0117732,-0.01164483,0.05985037,-0.02248874,0.01177382,-0.01164516,0.0598507
29.83,5219.36,40.44,25.56,4.89,-0.01159708,0.00668894,-0.00736377,0.00235294,-0.01173292,0.00668926,-0.00736396,0.00235315
29.94,5192.27,39.96,25.75,4.89,0.00368756,-0.00519029,-0.01186944,0.00743349,0.00355173,-0.00519039,-0.01186929,0.00743382
30.12,5242.84,39.28,26.75,4.88,0.00601202,0.00973948,-0.01701702,0.03883495,0.00587647,0.00973931,-0.01701729,0.03883542
29.71,5216.83,39.47,26.03,4.88,-0.01361222,-0.00496105,0.00483707,-0.02691589,-0.01374777,-0.00496067,0.00483721,-0.02691602
29.89,5271.75,38.59,26.19,4.87,0.00605857,0.01052747,-0.02229541,0.00614675,0.00592329,0.0105273,-0.02229571,0.00614737
30.29,5304.98,37.72,26.62,4.84,0.0133824,0.00630341,-0.0225447,0.01641848,0.01324796,0.00630304,-0.02254488,0.01641911
30.64,5381.21,38.3,27.16,4.83,0.01155497,0.01436952,0.01537646,0.0202855,0.0114208,0.0143692,0.01537606,0.02028507
30.87,5395.3,38.4,27.12,4.8,0.00750653,0.00261837,0.00261097,-0.00147275,0.00737319,0.00261816,0.00261089,-0.00147283
30.64,5405.06,38.3,27.25,4.76,-0.0074506,0.00180898,-0.00260417,0.00479351,-0.00758282,0.00180919,-0.00260422,0.00479358
29.89,5373.99,38.4,27.41,4.76,-0.02447781,-0.00574832,0.00261097,0.00587156,-0.02461003,-0.00574764,0.00261113,0.00587149
30.06,5407.59,38.01,28.06,4.78,0.00568752,0.00625234,-0.01015625,0.02371397,0.00555474,0.00625218,-0.01015642,0.02371426
31.21,5459.61,37.03,28.69,4.78,0.03825682,0.00961981,-0.02578269,0.02245189,0.03812404,0.00961875,-0.02578296,0.02245261
30.87,5492.12,36.94,28.16,4.76,-0.01089394,0.00595464,-0.00243046,-0.01847334,-0.01102617,0.00595494,-0.00243063,-0.01847327
